# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	543
#@/user_id	ee5c281b-b5db-4ec4-913e-07f7ba7a1927
P ei 	P欸	c=2 d=1.47515 t=543
a 	啊	c=0 d=0.0995012 t=543
a a a a a a a a 	啊啊啊啊啊啊啊啊	c=0 d=0.0995012 t=543
a li 	阿里	c=1 d=0.995012 t=543
an zhuang 	安装	c=10 d=7.45384 t=543
ba 	八	c=1 d=0.918512 t=543
ba 	把	c=0 d=0.0814647 t=543
ba jian zhu 	把建筑	c=1 d=0.818731 t=543
bai du 	百度	c=2 d=1.90722 t=543
bai tian 	白天	c=1 d=1 t=543
ban 	版	c=3 d=2.73414 t=543
bang le 	绑了	c=1 d=0.970446 t=543
bao qing tian 	包青天	c=1 d=0.843665 t=543
bei bao 	背包	c=1 d=0.995012 t=543
bi li bi li 	哔哩哔哩	c=1 d=1 t=543
bu fen 	部分	c=1 d=0.965605 t=543
bu tong 	不同	c=1 d=0.782705 t=543
bu xiang 	不想	c=1 d=0.97531 t=543
cai 	才	c=2 d=1.40505 t=543
cai liao 	材料	c=2 d=2.04012 t=543
cai liao xiang 	材料箱	c=1 d=0.995012 t=543
cai yao 	菜肴	c=1 d=0.882497 t=543
cao zuo 	操作	c=1 d=0.946485 t=543
ce shi 	测试	c=1 d=0.759572 t=543
cha jian 	插件	c=2 d=1.54705 t=543
cha kan 	查看	c=1 d=0.794534 t=543
cha zhao qi 	查找器	c=1 d=1 t=543
chang xue 	长靴	c=1 d=1 t=543
chao xian 	朝鲜	c=2 d=1.97516 t=543
chao xian zu 	朝鲜族	c=1 d=0.810584 t=543
che di 	彻底	c=3 d=1.96308 t=543
che xiao 	撤销	c=1 d=0.937067 t=543
cheng gong 	成功	c=1 d=0.771052 t=543
chong shang 	崇尚	c=1 d=0.818731 t=543
chu le 	除了	c=1 d=0.960789 t=543
chuan tong 	传统	c=1 d=0.965605 t=543
chuang jian 	创建	c=1 d=0.99005 t=543
chuang zao 	创造	c=2 d=1.84715 t=543
chun hua qiu yue he shi liao 	春花秋月何时了	c=1 d=0.985112 t=543
cong si 	葱丝	c=0 d=0.0918512 t=543
cun dang 	存档	c=2 d=1.92196 t=543
cun zhuang 	村庄	c=2 d=1.99005 t=543
da jian 	搭建	c=1 d=1 t=543
da sen 	大森	c=1 d=0.923116 t=543
da shou 	大寿	c=1 d=1 t=543
da zhen tan 	大侦探	c=1 d=0.826959 t=543
da zi ce shi 	打字测试	c=1 d=0.980199 t=543
da zi lian xi 	打字练习	c=2 d=1.42194 t=543
dao 	到	c=2 d=1.89843 t=543
dao ru 	导入	c=1 d=0.970446 t=543
dao zhi 	导致	c=1 d=0.960789 t=543
de 	的	c=11 d=6.89987 t=543
dei 	得	c=0 d=0.0995012 t=543
dei a a a a a a a a a wa a a 	得啊啊啊啊啊啊啊啊啊哇啊啊	c=1 d=1 t=543
den 	扽	c=2 d=1.54665 t=543
deng 	等	c=1 d=0.941765 t=543
di 	第	c=1 d=0.873716 t=543
di ren jie 	狄仁杰	c=1 d=0.900325 t=543
dian zhui 	点缀	c=1 d=0.955997 t=543
ding yue 	订阅	c=1 d=0.806541 t=543
dou hui 	都会	c=1 d=0.955997 t=543
dou shi 	都是	c=1 d=0.985112 t=543
dou yao 	都要	c=1 d=0.895834 t=543
dui 	对	c=1 d=0.960789 t=543
e mo fa ze 	恶魔法则	c=1 d=1 t=543
fa lun gong 	法轮功	c=3 d=2.8585 t=543
fa song 	发送	c=1 d=0.826959 t=543
fang ke meng 	方可梦	c=1 d=1 t=543
fang kuai 	方块	c=1 d=1 t=543
fang kuang 	方框	c=1 d=0.99005 t=543
